"date","open","high","low","close","volume","adjusted_close","change_percent","avg_vol_20d"
2011-02-24,1.452,1.50534,1.43334,1.502,15831735,22.53,3.21,22271126.7
2011-02-25,1.52066,1.59,1.51266,1.574,20208840,23.61,4.79,22609828.2
2011-02-28,1.58266,1.60666,1.56666,1.59266,15766575,23.8905,1.19,22611549.45
2011-03-01,1.60334,1.62134,1.58,1.596,16595235,23.94,0.21,22817630.7
2011-03-02,1.588,1.61866,1.58166,1.60134,9949410,24.0195,0.33,22784257.95
2011-03-03,1.632,1.65266,1.604,1.624,9602100,24.36,1.42,22837258.95
2011-03-04,1.632,1.666,1.58534,1.66334,23701485,24.9495,2.42,23638283.65
2011-03-07,1.662,1.69334,1.64666,1.66266,30502950,24.9405,-0.04,24755494.1
2011-03-08,1.64,1.664,1.6,1.644,20997750,24.66,-1.12,25134124.1
2011-03-09,1.644,1.666,1.618,1.648,13870800,24.72,0.24,23198777.65
2011-03-10,1.62934,1.63266,1.582,1.60066,15255690,24.0105,-2.87,21984366.45
2011-03-11,1.59,1.61666,1.56866,1.60466,13961895,24.0705,0.25,22055446.95
2011-03-14,1.588,1.6,1.54666,1.55,17489550,23.25,-3.41,22452473.65
2011-03-15,1.48,1.53066,1.45334,1.53,19783020,22.95,-1.29,22479072.4
2011-03-16,1.524,1.55,1.51266,1.52134,17545125,22.8195,-0.57,22635691.15
2011-03-17,1.54934,1.562,1.50934,1.52066,13837545,22.8105,-0.04,20240714.75
2011-03-18,1.546,1.546,1.50066,1.53066,10317345,22.9605,0.66,18791625.6
2011-03-21,1.53666,1.53666,1.50266,1.51534,6174750,22.7295,-1.01,17322285.7
2011-03-22,1.51534,1.524,1.46666,1.47934,8742195,22.1895,-2.38,16210990.5
2011-03-23,1.474,1.48466,1.45134,1.48066,6341895,22.2105,0.09,15323804.3
2011-03-24,1.476,1.492,1.46534,1.48866,6932400,22.3305,0.54,14878836.85
2011-03-25,1.49534,1.53334,1.49334,1.51666,8518830,22.7505,1.88,14294335.65
2011-03-28,1.51334,1.56926,1.50334,1.55,15870255,23.25,2.2,14299519.65
2011-03-29,1.55334,1.6,1.54734,1.59466,11333865,23.9205,2.88,14036450.45
2011-03-30,1.60734,1.63266,1.534,1.58066,18358140,23.7105,-0.88,14456887.65
2011-03-31,1.77,1.914,1.76666,1.85,172835085,27.75,17.04,22618537.25
2011-04-01,1.83,1.87866,1.77134,1.77734,42976290,26.6595,-3.93,23582277.45
2011-04-04,1.78866,1.8,1.682,1.722,39138390,25.83,-3.11,24014049.4
2011-04-05,1.72666,1.8,1.71266,1.78,47725890,26.7,3.37,25350456.35
2011-04-06,1.79934,1.80066,1.72,1.766,19324440,26.49,-0.79,25623138.35
2011-04-07,1.79,1.86266,1.76334,1.816,42161475,27.24,2.83,26968427.55
2011-04-08,1.83866,1.84002,1.75734,1.766,29195265,26.49,-2.75,27730096.05
2011-04-11,1.76466,1.76866,1.668,1.68466,20582985,25.2705,-4.6,27884767.8
2011-04-12,1.672,1.68066,1.62,1.64334,20361000,24.6495,-2.46,27913666.8
2011-04-13,1.67534,1.71266,1.654,1.662,18171645,24.93,1.14,27944992.8
2011-04-14,1.658,1.68534,1.61334,1.676,14750715,25.14,0.84,27990651.3
2011-04-15,1.71,1.74534,1.694,1.70534,14151750,25.5795,1.75,28182372.25
2011-04-18,1.67534,1.708,1.624,1.66866,15508050,25.0305,-2.15,28649037.95
2011-04-19,1.684,1.684,1.64334,1.67734,8230395,25.1595,0.52,28623447.95
2011-04-20,1.71334,1.73934,1.68666,1.71666,12562020,25.7505,2.35,28934454.9
2011-04-21,1.72334,1.79866,1.706,1.78266,20790780,26.7405,3.84,29627374.6
2011-04-25,1.78,1.782,1.73134,1.75934,12012570,26.3895,-1.31,29802062.3
2011-04-26,1.77734,1.81666,1.754,1.79534,20585130,26.9295,2.05,30037806.05
2011-04-27,1.79534,1.824,1.77534,1.80534,14953500,27.0795,0.56,30218788.5
2011-04-28,1.80466,1.846,1.78134,1.844,24674940,27.66,2.14,30534628.5
2011-04-29,1.846,1.858,1.828,1.84,10895100,27.6,-0.22,22437628.9
2011-05-02,1.84,1.85334,1.804,1.83,11768385,27.45,-0.54,20877233.7
2011-05-03,1.82534,1.826,1.76666,1.79134,13709460,26.8695,-2.11,19605787.25
2011-05-04,1.78534,1.8,1.71666,1.77934,15707520,26.6895,-0.67,18004868.8
2011-05-05,1.81334,1.82934,1.74468,1.76266,18291720,26.4405,-0.93,17953232.8
2011-05-06,1.79334,1.84666,1.77466,1.808,14724075,27.12,2.57,16581362.85
2011-05-09,1.8,1.86666,1.79,1.86066,13744530,27.9105,2.91,15808826.1
2011-05-10,1.88266,1.93,1.86066,1.88866,23034375,28.3305,1.5,15931395.6
